================================List of subscription================================
Subscription ID,Subscription Type,Duration,Start Date,End Date
10997,Yearly,40 Year,08/23/1972,08/23/2012
10998,Yearly,7 Year,11/04/1972,11/04/1979
22529,Monthly,57 Month,10/14/1976,07/14/1981
22527,Daily,5 Day,08/27/1987,09/01/1987
22525,Yearly,19 Year,02/11/1978,02/11/1997
22524,Yearly,13 Year,01/25/1986,01/25/1999
10991,Yearly,34 Year,10/24/1978,10/24/2012
22522,Daily,25 Day,05/12/1973,06/06/1973
22520,Yearly,22 Year,11/07/1983,11/07/2005
10995,One_Off,1 Day,05/24/1971,05/24/1971
10996,One_Off,1 Day,01/24/1983,01/24/1983
22514,Monthly,69 Month,04/25/1970,01/25/1976
22517,Monthly,64 Month,11/09/1972,03/09/1978
22516,Daily,16 Day,03/07/1966,03/23/1966
22511,Yearly,25 Year,05/15/1971,05/15/1996
22510,Yearly,6 Year,06/07/1968,06/07/1974
22513,Monthly,19 Month,11/20/1979,06/20/1981
22512,Yearly,25 Year,02/24/1979,02/24/2004
22506,Yearly,9 Year,11/17/1977,11/17/1986
22507,Yearly,26 Year,12/22/1968,12/22/1994
22501,Monthly,90 Month,10/10/1981,04/10/1989
22500,Yearly,36 Year,08/19/1973,08/19/2009
39624,Yearly,10 Year,10/04/1984,10/04/1994
35710,Yearly,22 Year,08/11/1988,08/11/2010
45208,Yearly,32 Year,01/02/1968,01/02/2000
35711,Yearly,19 Year,05/08/1986,05/08/2005
45207,Daily,32 Day,10/02/1984,11/03/1984
35712,One_Off,1 Day,10/13/1971,10/13/1971
35713,Daily,26 Day,12/09/1966,01/04/1967
45209,Yearly,8 Year,12/07/1971,12/07/1979
39628,One_Off,1 Day,06/22/1967,06/22/1967
10952,One_Off,1 Day,08/13/1982,08/13/1982
10951,Monthly,20 Month,07/10/1967,03/10/1969
35718,Monthly,18 Month,07/28/1971,01/28/1973
10954,One_Off,1 Day,11/16/1967,11/16/1967
10953,Daily,25 Day,05/04/1968,05/29/1968
10956,Yearly,22 Year,06/15/1988,06/15/2010
45201,Yearly,15 Year,08/15/1986,08/15/2001
45204,Yearly,36 Year,04/21/1966,04/21/2002
35714,Daily,21 Day,08/23/1968,09/13/1968
10958,Yearly,14 Year,04/10/1975,04/10/1989
35715,Yearly,14 Year,10/10/1974,10/10/1988
10957,Yearly,4 Year,08/21/1976,08/21/1980
35716,Daily,55 Day,02/19/1989,04/15/1989
10959,Daily,16 Day,04/23/1971,05/09/1971
39620,Daily,29 Day,06/24/1982,07/23/1982
35701,Monthly,21 Month,08/08/1990,05/08/1992
35702,Daily,53 Day,11/13/1986,01/05/1987
39635,Yearly,26 Year,10/26/1971,10/26/1997
39636,Yearly,12 Year,10/20/1976,10/20/1988
10963,Monthly,26 Month,09/14/1969,11/14/1971
39639,Daily,26 Day,05/11/1982,06/06/1982
35709,Daily,50 Day,05/20/1972,07/09/1972
45212,Monthly,39 Month,04/04/1968,07/04/1971
10965,Monthly,14 Month,05/28/1982,07/28/1983
45210,Monthly,11 Month,05/04/1968,04/04/1969
35708,Yearly,6 Year,06/28/1970,06/28/1976
10964,Daily,41 Day,02/16/1987,03/29/1987
45217,Monthly,8 Month,12/13/1974,08/13/1975
45216,One_Off,1 Day,01/21/1988,01/21/1988
35703,Daily,39 Day,04/09/1972,05/18/1972
10968,One_Off,1 Day,02/15/1966,02/15/1966
45214,Yearly,33 Year,08/25/1981,08/25/2014
39630,Monthly,31 Month,07/17/1976,02/17/1979
39632,Daily,8 Day,03/21/1983,03/29/1983
39631,One_Off,1 Day,06/26/1971,06/26/1971
39606,Yearly,29 Year,02/14/1977,02/14/2006
10972,Yearly,21 Year,09/23/1977,09/23/1998
39604,Monthly,35 Month,06/20/1970,05/20/1973
10974,Monthly,41 Month,08/14/1979,01/14/1983
39605,One_Off,1 Day,12/06/1969,12/06/1969
39603,Monthly,62 Month,12/27/1985,02/27/1991
39601,Monthly,40 Month,12/22/1986,04/22/1990
45226,Yearly,17 Year,03/27/1984,03/27/2001
45228,Yearly,13 Year,12/21/1966,12/21/1979
45227,One_Off,1 Day,04/19/1989,04/19/1989
45222,One_Off,1 Day,02/09/1973,02/09/1973
10975,Daily,37 Day,11/04/1989,12/11/1989
45221,Daily,19 Day,10/10/1979,10/29/1979
39608,Monthly,17 Month,11/15/1974,04/15/1976
10978,Monthly,4 Month,08/15/1978,12/15/1978
45224,Monthly,39 Month,09/24/1982,12/24/1985
45223,Daily,22 Day,04/18/1973,05/10/1973
39609,Yearly,24 Year,01/27/1980,01/27/2004
45220,Monthly,70 Month,08/19/1987,06/19/1993
39615,Daily,49 Day,09/20/1971,11/08/1971
10985,Yearly,3 Year,07/08/1968,07/08/1971
10984,Yearly,22 Year,03/23/1985,03/23/2007
39618,Monthly,41 Month,11/18/1984,04/18/1988
10982,Monthly,40 Month,08/15/1987,12/15/1990
39611,Monthly,16 Month,03/06/1985,07/06/1986
10980,One_Off,1 Day,12/21/1988,12/21/1988
45237,Monthly,30 Month,05/28/1968,11/28/1970
39619,One_Off,1 Day,02/15/1986,02/15/1986
45234,Monthly,19 Month,09/22/1981,04/22/1983
45231,Yearly,44 Year,09/13/1967,09/13/2011
39610,Monthly,88 Month,10/17/1973,02/17/1981
39660,Yearly,20 Year,11/13/1977,11/13/1997
39662,Daily,26 Day,11/20/1975,12/16/1975
35759,Yearly,11 Year,10/24/1984,10/24/1995
35758,Monthly,56 Month,06/09/1966,02/09/1971
